job_title,education_level,experience_years,skills_count,industry,company_size,location,remote_work,certifications,salary
Operations research analyst,Bachelor,10,2,Healthcare,Medium,India,Hybrid,2,109413
Data Analyst,Bachelor,5,17,Telecom,Small,Australia,No,0,93764
Systems analyst,PhD,18,4,Media,Medium,Singapore,No,1,148123
Statistician,PhD,19,13,Retail,Medium,Canada,Yes,0,189123
Math teacher,Bachelor,15,7,Manufacturing,Large,Sweden,Yes,0,165069
Operations research analyst,High School,0,4,Education,Enterprise,USA,No,2,180351
AI researcher,High School,6,16,Manufacturing,Enterprise,Canada,No,3,165375
Actuary,Bachelor,4,18,Healthcare,Enterprise,Canada,Hybrid,5,202463
Operations research analyst,Diploma,5,14,Telecom,Enterprise,Singapore,Yes,0,171834
Systems analyst,PhD,18,2,Retail,Enterprise,India,Hybrid,5,128377
Systems analyst,High School,1,10,Healthcare,Large,Netherlands,Yes,5,105755
Statistician,Master,19,7,Finance,Large,Netherlands,Yes,5,157417
Math teacher,High School,8,3,Healthcare,Medium,Canada,Yes,3,154190
Data Analyst,Bachelor,3,3,Education,Startup,Singapore,Yes,4,87600
Statistician,PhD,14,5,Healthcare,Enterprise,India,No,1,106481
Statistician,Bachelor,0,9,Technology,Medium,Remote,No,4,85143
Actuary,PhD,11,16,Consulting,Medium,Germany,Hybrid,3,191757
Financial modeler,Bachelor,10,1,Education,Large,UK,No,2,155931
Math teacher,Master,9,12,Finance,Small,Singapore,Yes,1,141207
Software Engineer,High School,11,10,Media,Large,Sweden,No,1,124532
Statistician,Bachelor,4,15,Retail,Medium,UK,Hybrid,0,108203
Cybersecurity Analyst,Diploma,17,7,Government,Small,Germany,Hybrid,5,161268
Financial modeler,Bachelor,10,8,Government,Small,Germany,Yes,1,151828
Software Engineer,High School,5,2,Retail,Enterprise,Sweden,Hybrid,1,115827
Cybersecurity Analyst,High School,12,15,Technology,Small,Australia,Hybrid,1,125030
Math teacher,Master,13,8,Retail,Medium,India,Hybrid,3,113838
Data Scientist,Bachelor,2,14,Education,Startup,Remote,Yes,5,109478
Cybersecurity Analyst,PhD,9,19,Technology,Medium,Germany,No,2,168253
AI researcher,Diploma,7,15,Telecom,Medium,Australia,No,3,119988
Financial modeler,Diploma,4,19,Technology,Large,Australia,Hybrid,2,141409
Cybersecurity Analyst,PhD,4,8,Media,Startup,Australia,No,4,121972
Risk analyst,PhD,8,3,Finance,Medium,UK,No,0,162923
Data Scientist,Master,13,3,Government,Large,India,Yes,0,111158
Systems analyst,Diploma,14,17,Finance,Startup,India,Yes,2,84456
Systems analyst,Diploma,18,18,Government,Large,Sweden,No,1,158451
AI researcher,Master,10,4,Technology,Small,Australia,Hybrid,1,115823
Cybersecurity Analyst,PhD,0,13,Telecom,Large,Singapore,Hybrid,2,143181
Cybersecurity Analyst,Bachelor,11,10,Healthcare,Medium,Canada,Yes,0,167629
Actuary,PhD,15,15,Consulting,Medium,Germany,Hybrid,5,213920
Cybersecurity Analyst,Master,10,12,Telecom,Enterprise,Australia,Yes,5,184393
Operations research analyst,Diploma,5,10,Government,Small,Germany,Hybrid,5,143403
Data Analyst,PhD,2,4,Telecom,Small,Netherlands,Hybrid,5,96611
Risk analyst,PhD,5,4,Retail,Small,Germany,Yes,4,152413
Actuary,High School,15,15,Technology,Enterprise,Germany,Yes,2,212249
Math teacher,High School,8,14,Healthcare,Large,Singapore,Hybrid,1,136543
Actuary,Bachelor,8,17,Telecom,Small,Canada,No,4,177406
Operations research analyst,Master,9,10,Consulting,Large,Netherlands,Yes,3,194075
Math teacher,Diploma,13,3,Consulting,Startup,Canada,Yes,0,145069
Risk analyst,Diploma,14,14,Education,Medium,Remote,No,4,155886
Operations research analyst,High School,15,13,Manufacturing,Small,Remote,Hybrid,2,152004
Software Engineer,Diploma,11,11,Government,Startup,Canada,No,1,121570
Data Analyst,Master,17,6,Finance,Large,Australia,Hybrid,4,149491
Risk analyst,Diploma,11,8,Government,Small,Remote,No,0,127838
Cybersecurity Analyst,High School,12,9,Healthcare,Enterprise,Singapore,No,2,163138
Software Engineer,Master,20,6,Manufacturing,Enterprise,Remote,Hybrid,2,194364
AI researcher,PhD,0,11,Education,Large,UK,No,3,159274
Risk analyst,Master,10,7,Telecom,Enterprise,Germany,No,0,190270
AI researcher,Bachelor,12,3,Education,Enterprise,Canada,Hybrid,4,186953
Math teacher,Master,8,3,Healthcare,Large,Canada,No,4,186117
Software Engineer,PhD,14,16,Media,Medium,Sweden,No,4,165569
Data Analyst,Master,2,6,Media,Startup,Australia,Hybrid,1,89018
Cybersecurity Analyst,Diploma,4,12,Consulting,Small,Netherlands,No,2,115238
Cybersecurity Analyst,Master,12,15,Media,Small,Germany,No,3,165648
Operations research analyst,Diploma,20,5,Media,Startup,India,Hybrid,5,112984
Cybersecurity Analyst,Master,16,1,Media,Small,Remote,Hybrid,3,147049
Statistician,Diploma,14,18,Media,Medium,USA,Yes,2,153999
Actuary,High School,15,6,Finance,Small,Netherlands,Yes,1,147962
Data Scientist,Master,11,18,Finance,Large,Sweden,Hybrid,5,168153
Data Analyst,High School,12,18,Technology,Medium,Australia,Yes,4,124202
Software Engineer,Master,6,16,Retail,Large,USA,Yes,4,200988
Statistician,High School,12,3,Technology,Large,Sweden,Hybrid,2,110222
Data Analyst,Bachelor,14,2,Manufacturing,Medium,Sweden,Hybrid,0,101805
Software Engineer,Master,8,2,Consulting,Small,Singapore,Yes,2,119579
Financial modeler,PhD,9,4,Healthcare,Enterprise,UK,Yes,1,208215
Financial modeler,High School,18,6,Retail,Startup,Sweden,Hybrid,5,127545
AI researcher,Diploma,2,18,Healthcare,Medium,Australia,Hybrid,2,102766
Data Analyst,High School,0,5,Telecom,Large,UK,Hybrid,3,91705
Financial modeler,Bachelor,10,4,Consulting,Large,UK,Yes,0,171414
Software Engineer,Diploma,1,3,Consulting,Enterprise,Remote,Yes,4,128205
AI researcher,Master,9,15,Education,Medium,UK,Hybrid,2,152842
Cybersecurity Analyst,Diploma,0,19,Education,Enterprise,Canada,Yes,2,163299
Software Engineer,High School,8,18,Retail,Enterprise,Singapore,No,1,134205
AI researcher,PhD,4,12,Telecom,Startup,India,Hybrid,1,77939
Data Analyst,PhD,20,1,Manufacturing,Medium,USA,Yes,0,191096
Statistician,Diploma,3,14,Consulting,Medium,UK,No,5,111115
Operations research analyst,High School,12,2,Finance,Medium,Netherlands,Yes,3,153247
Cybersecurity Analyst,Bachelor,13,9,Consulting,Large,Sweden,No,3,159278
Risk analyst,Master,17,9,Manufacturing,Large,Sweden,No,5,184436
Statistician,High School,20,3,Technology,Small,Canada,Hybrid,1,138816
Math teacher,Master,1,6,Technology,Medium,Australia,No,3,129229
Software Engineer,PhD,11,8,Healthcare,Medium,Canada,No,3,171686
Math teacher,Master,2,13,Telecom,Medium,Remote,Yes,0,139641
Statistician,Bachelor,8,15,Government,Large,Germany,Hybrid,2,143723
AI researcher,Bachelor,18,8,Consulting,Large,India,No,3,110112
Risk analyst,High School,17,2,Retail,Startup,Germany,Hybrid,3,133187
Cybersecurity Analyst,Master,3,18,Retail,Large,UK,Hybrid,3,167315
Cybersecurity Analyst,High School,3,5,Manufacturing,Enterprise,Netherlands,Hybrid,1,118379
Cybersecurity Analyst,Diploma,10,3,Healthcare,Enterprise,India,No,0,106400
Risk analyst,Master,17,17,Retail,Medium,Germany,No,2,187913
Data Scientist,Diploma,8,7,Manufacturing,Small,Remote,Yes,1,118562
Risk analyst,Bachelor,12,2,Consulting,Enterprise,USA,Yes,2,211319
Operations research analyst,Bachelor,19,4,Media,Medium,Singapore,Hybrid,3,176966
Risk analyst,PhD,16,13,Government,Medium,USA,No,5,230499
Statistician,PhD,5,18,Education,Startup,Netherlands,No,1,104364
Data Scientist,High School,8,16,Telecom,Small,UK,No,2,138497
Cybersecurity Analyst,PhD,19,12,Telecom,Enterprise,Singapore,Yes,3,224252
Statistician,Bachelor,15,11,Government,Medium,Germany,Hybrid,4,136322
Statistician,Master,5,15,Manufacturing,Large,Singapore,Hybrid,0,113830
Systems analyst,Diploma,6,19,Finance,Startup,UK,Hybrid,1,104707
